t,r,y,u
0.00000000,0.00000000,739.28576660,5.00000000
0.02000000,0.00000000,707.14288330,0.00000000
0.04000000,0.00000000,668.57147217,0.00000000
0.06000000,0.00000000,636.42858887,0.00000000
0.08000000,0.00000000,597.85717773,0.00000000
0.10000000,0.00000000,572.14288330,0.00000000
0.12000000,0.00000000,533.57147217,0.00000000
0.14000000,0.00000000,501.42861938,0.00000000
0.16000000,0.00000000,475.71432495,0.00000000
0.18000000,0.00000000,443.57147217,0.00000000
0.20000000,0.00000000,411.42858887,0.00000000
0.22000000,0.00000000,379.28573608,0.00000000
0.24000000,0.00000000,360.00003052,0.00000000
0.26000000,0.00000000,327.85717773,0.00000000
0.28000000,0.00000000,295.71432495,0.00000000
0.30000000,0.00000000,276.42858887,0.00000000
0.32000000,0.00000000,244.28573608,0.00000000
0.34000000,0.00000000,225.00003052,0.00000000
0.36000000,0.00000000,199.28572083,0.00000000
0.38000000,0.00000000,167.14286804,0.00000000
0.40000000,0.00000000,154.28572083,0.00000000
0.42000000,0.00000000,128.57144165,0.00000000
0.44000000,0.00000000,102.85714722,0.00000000
0.46000000,0.00000000,77.14286041,0.00000000
0.48000000,0.00000000,64.28572083,0.00000000
0.50000000,0.00000000,38.57143021,0.00000000
0.52000000,0.00000000,19.28571510,0.00000000
0.54000000,0.00000000,-6.42857170,0.00000000
0.56000000,0.00000000,0.00000000,0.00000000
0.58000000,0.00000000,0.00000000,0.00000000
0.60000000,0.00000000,0.00000000,0.00000000
0.62000000,0.00000000,0.00000000,0.00000000
0.64000000,0.00000000,0.00000000,0.00000000
0.66000000,0.00000000,0.00000000,0.00000000
0.68000000,0.00000000,0.00000000,0.00000000
0.70000000,0.00000000,0.00000000,0.00000000
0.72000000,0.00000000,0.00000000,0.00000000
0.74000000,0.00000000,0.00000000,0.00000000
0.76000000,0.00000000,0.00000000,0.00000000
0.78000000,0.00000000,0.00000000,0.00000000
0.80000000,0.00000000,0.00000000,0.00000000
0.82000000,0.00000000,0.00000000,0.00000000
0.84000000,0.00000000,0.00000000,0.00000000
0.86000000,0.00000000,0.00000000,0.00000000
0.88000000,0.00000000,0.00000000,0.00000000
0.90000000,0.00000000,0.00000000,0.00000000
0.92000000,0.00000000,0.00000000,0.00000000
0.94000000,0.00000000,0.00000000,0.00000000
0.96000000,0.00000000,0.00000000,0.00000000
0.98000000,0.00000000,0.00000000,0.00000000
1.00000000,360.00000000,0.00000000,0.00000000
1.02000000,360.00000000,-90.00000763,-5.00000000
1.04000000,360.00000000,-360.00003052,-2.47180367
1.06000000,360.00000000,-308.57144165,2.34603953
1.08000000,360.00000000,-12.85714340,4.12169409
1.10000000,360.00000000,257.14288330,2.72742844
1.12000000,360.00000000,353.57144165,0.66022909
1.14000000,360.00000000,334.28573608,-0.17936341
1.16000000,360.00000000,302.14288330,0.07881046
1.18000000,360.00000000,289.28573608,0.55924231
1.20000000,360.00000000,295.71432495,0.91043669
1.22000000,360.00000000,321.42858887,1.06792510
1.24000000,360.00000000,340.71432495,0.96723974
1.26000000,360.00000000,353.57144165,0.85949129
1.28000000,360.00000000,366.42858887,0.76616997
1.30000000,360.00000000,366.42858887,0.62986952
1.32000000,360.00000000,366.42858887,0.60838008
1.34000000,360.00000000,360.00003052,0.58689064
1.36000000,360.00000000,360.00003052,0.64429593
1.38000000,360.00000000,360.00003052,0.64429581
1.40000000,360.00000000,360.00003052,0.64429569
1.42000000,360.00000000,360.00003052,0.64429557
1.44000000,360.00000000,360.00003052,0.64429545
1.46000000,360.00000000,360.00003052,0.64429533
1.48000000,360.00000000,360.00003052,0.64429522
1.50000000,360.00000000,353.57144165,0.64429510
1.52000000,360.00000000,360.00003052,0.72319007
1.54000000,360.00000000,360.00003052,0.66578436
1.56000000,360.00000000,360.00003052,0.66578424
1.58000000,360.00000000,366.42858887,0.66578412
1.60000000,360.00000000,360.00003052,0.58688927
1.62000000,360.00000000,360.00003052,0.64429456
1.64000000,360.00000000,353.57144165,0.64429444
1.66000000,360.00000000,360.00003052,0.72318941
1.68000000,360.00000000,360.00003052,0.66578370
1.70000000,360.00000000,366.42858887,0.66578358
1.72000000,360.00000000,360.00003052,0.58688873
1.74000000,360.00000000,360.00003052,0.64429402
1.76000000,360.00000000,353.57144165,0.64429390
1.78000000,360.00000000,360.00003052,0.72318888
1.80000000,360.00000000,360.00003052,0.66578317
1.82000000,360.00000000,360.00003052,0.66578305
1.84000000,360.00000000,360.00003052,0.66578293
1.86000000,360.00000000,360.00003052,0.66578281
1.88000000,360.00000000,360.00003052,0.66578269
1.90000000,360.00000000,366.42858887,0.66578257
1.92000000,360.00000000,366.42858887,0.58688772
1.94000000,360.00000000,360.00003052,0.56539828
1.96000000,360.00000000,353.57144165,0.62280357
1.98000000,360.00000000,360.00003052,0.70169854
2.00000000,360.00000000,360.00003052,0.64429283
2.02000000,360.00000000,360.00003052,0.64429271
2.04000000,360.00000000,360.00003052,0.64429259
2.06000000,360.00000000,360.00003052,0.64429247
2.08000000,360.00000000,360.00003052,0.64429235
2.10000000,360.00000000,360.00003052,0.64429224
2.12000000,360.00000000,360.00003052,0.64429212
2.14000000,360.00000000,360.00003052,0.64429200
2.16000000,360.00000000,360.00003052,0.64429188
2.18000000,360.00000000,360.00003052,0.64429176
2.20000000,360.00000000,360.00003052,0.64429164
2.22000000,360.00000000,360.00003052,0.64429152
2.24000000,360.00000000,360.00003052,0.64429140
2.26000000,360.00000000,360.00003052,0.64429128
2.28000000,360.00000000,360.00003052,0.64429116
2.30000000,360.00000000,360.00003052,0.64429104
2.32000000,360.00000000,353.57144165,0.64429092
2.34000000,360.00000000,360.00003052,0.72318590
2.36000000,360.00000000,360.00003052,0.66578019
2.38000000,360.00000000,366.42858887,0.66578007
2.40000000,360.00000000,366.42858887,0.58688521
2.42000000,360.00000000,360.00003052,0.56539577
2.44000000,360.00000000,360.00003052,0.62280107
2.46000000,360.00000000,360.00003052,0.62280095
2.48000000,360.00000000,360.00003052,0.62280083
